"input" "reason" "matches" "symbol" "organism.shortName" "name" "length" "secondaryIdentifier" "primaryIdentifier" "class"
"O60200" "OTHER" "1" "MDM35" "S. cerevisiae" "Mitochondrial Distribution and Morphology" "261" "YKL053C-A" "S000007243" "ORF"
"Q03102" "OTHER" "1" "" "S. cerevisiae" "" "1098" "YML131W" "S000004600" "ORF"
"P32328" "OTHER" "1" "DBF20" "S. cerevisiae" "DumbBell Forming" "1695" "YPR111W" "S000006315" "ORF"
"P40529" "OTHER" "1" "AGE2" "S. cerevisiae" "ArfGAP Effector" "897" "YIL044C" "S000001306" "ORF"
"Q03557" "OTHER" "1" "HER2" "S. cerevisiae" "Hmg2p ER Remodeling" "1395" "YMR293C" "S000004907" "ORF"
"P38143" "OTHER" "1" "GPX2" "S. cerevisiae" "Glutathione PeroXidase" "489" "YBR244W" "S000000448" "ORF"
"P38361" "OTHER" "1" "PHO89" "S. cerevisiae" "PHOsphate metabolism" "1725" "YBR296C" "S000000500" "ORF"
"P38818" "OTHER" "1" "CTM1" "S. cerevisiae" "CyTochrome c Methyltransferase" "1758" "YHR109W" "S000001151" "ORF"
"P22543" "OTHER" "1" "VPS34" "S. cerevisiae" "Vacuolar Protein Sorting" "2628" "YLR240W" "S000004230" "ORF"
"P50089" "OTHER" "1" "" "S. cerevisiae" "" "2358" "YGR237C" "S000003469" "ORF"
"Q86ZR7" "OTHER" "1" "" "S. cerevisiae" "" "711" "YKL033W-A" "S000007242" "ORF"
"P13434" "OTHER" "1" "HAP3" "S. cerevisiae" "Heme Activator Protein" "435" "YBL021C" "S000000117" "ORF"
"Q07928" "OTHER" "1" "GAT3" "S. cerevisiae" "" "426" "YLR013W" "S000004003" "ORF"
"P53046" "OTHER" "1" "ROM1" "S. cerevisiae" "RhO1 Multicopy suppressor" "3468" "YGR070W" "S000003302" "ORF"
"Q12311" "OTHER" "1" "NTO1" "S. cerevisiae" "NuA Three Orf" "2247" "YPR031W" "S000006235" "ORF"
"P30605" "OTHER" "1" "ITR1" "S. cerevisiae" "myo-Inositol TRansporter" "1755" "YDR497C" "S000002905" "ORF"
"P40308" "OTHER" "1" "TGL3" "S. cerevisiae" "TriacylGlycerol Lipase" "1929" "YMR313C" "S000004930" "ORF"
"P38628" "OTHER" "1" "PCM1" "S. cerevisiae" "PhosphoaCetylglucosamine Mutase" "1674" "YEL058W" "S000000784" "ORF"
"P05374" "OTHER" "1" "CHO2" "S. cerevisiae" "CHOline requiring" "2610" "YGR157W" "S000003389" "ORF"
"Q03705" "OTHER" "1" "CGI121" "S. cerevisiae" "homolog of human CGI-121" "652" "YML036W" "S000004500" "ORF"
"P22276" "OTHER" "1" "RET1" "S. cerevisiae" "Reduced Efficiency of Termination" "3450" "YOR207C" "S000005733" "ORF"
"Q99315" "OTHER" "1" "" "S. cerevisiae" "" "" "YGR109W-B" "S000007347" "TransposableElementGene"
"Q03503" "OTHER" "1" "MAK3" "S. cerevisiae" "MAintenance of Killer" "531" "YPR051W" "S000006255" "ORF"
"P37267" "OTHER" "1" "CBP4" "S. cerevisiae" "Cytochrome B mRNA Processing" "513" "YGR174C" "S000003406" "ORF"
"P32569" "OTHER" "1" "SRB4" "S. cerevisiae" "Suppressor of RNA polymerase B" "2064" "YER022W" "S000000824" "ORF"
"Q12339" "OTHER" "1" "UTP23" "S. cerevisiae" "U Three-associated Protein" "765" "YOR004W" "S000005530" "ORF"
"P15807" "OTHER" "1" "MET8" "S. cerevisiae" "METhionine requiring" "825" "YBR213W" "S000000417" "ORF"
"Q02629" "OTHER" "1" "NUP100" "S. cerevisiae" "NUclear Pore" "2880" "YKL068W" "S000001551" "ORF"
"P46982" "OTHER" "1" "MNN5" "S. cerevisiae" "MaNNosyltransferase" "1761" "YJL186W" "S000003722" "ORF"
"Q12697" "OTHER" "1" "YPK9" "S. cerevisiae" "Yeast ParK9" "4419" "YOR291W" "S000005817" "ORF"
"P46672" "OTHER" "1" "ARC1" "S. cerevisiae" "Aminoacyl-tRNA synthetase Cofactor" "1131" "YGL105W" "S000003073" "ORF"
"P35731" "OTHER" "1" "OAR1" "S. cerevisiae" "3-Oxoacyl-[Acyl-carrier-protein] Reductase" "837" "YKL055C" "S000001538" "ORF"
"P38144" "OTHER" "1" "ISW1" "S. cerevisiae" "Imitation SWitch subfamily" "3390" "YBR245C" "S000000449" "ORF"
"P53192" "OTHER" "1" "GET1" "S. cerevisiae" "Guided Entry of Tail-anchored proteins" "708" "YGL020C" "S000002988" "ORF"
"Q12182" "OTHER" "1" "" "S. cerevisiae" "" "960" "YOR342C" "S000005869" "ORF"
"Q08910" "OTHER" "1" "" "S. cerevisiae" "" "621" "YOR387C" "S000005914" "ORF"
"P25337" "OTHER" "1" "BUD31" "S. cerevisiae" "BUD site selection" "474" "YCR063W" "S000000659" "ORF"
"P25454" "OTHER" "1" "RAD51" "S. cerevisiae" "RADiation sensitive" "1203" "YER095W" "S000000897" "ORF"
"Q03104" "OTHER" "1" "MSC1" "S. cerevisiae" "Meiotic Sister-Chromatid recombination" "1542" "YML128C" "S000004597" "ORF"
"P38717" "OTHER" "1" "SIP3" "S. cerevisiae" "SNF1-Interacting Protein" "3690" "YNL257C" "S000005201" "ORF"
"Q12029" "OTHER" "1" "FSF1" "S. cerevisiae" "Fungal SideroFlexin 1" "984" "YOR271C" "S000005797" "ORF"
"P38145" "OTHER" "1" "RIB5" "S. cerevisiae" "RIBoflavin biosynthesis" "717" "YBR256C" "S000000460" "ORF"
"P19145" "OTHER" "1" "GAP1" "S. cerevisiae" "General Amino acid Permease" "1809" "YKR039W" "S000001747" "ORF"
"P25451" "OTHER" "1" "PUP3" "S. cerevisiae" "PUtative Proteasome subunit" "618" "YER094C" "S000000896" "ORF"
"Q03306" "OTHER" "1" "PKH3" "S. cerevisiae" "Pkb-activating Kinase Homolog" "2697" "YDR466W" "S000002874" "ORF"
"P05373" "OTHER" "1" "HEM2" "S. cerevisiae" "HEMe biosynthesis" "1029" "YGL040C" "S000003008" "ORF"
"P04650" "OTHER" "1" "RPL39" "S. cerevisiae" "Ribosomal Protein of the Large subunit" "542" "YJL189W" "S000003725" "ORF"
"P25334" "OTHER" "1" "CPR4" "S. cerevisiae" "Cyclosporin-sensitive Proline Rotamase" "957" "YCR069W" "S000000665" "ORF"
"Q04341" "OTHER" "1" "MIX14" "S. cerevisiae" "Mitochondrial Intermembrane space CX(n)C motif protein" "366" "YDR031W" "S000002438" "ORF"
"P41806" "OTHER" "1" "VMA21" "S. cerevisiae" "Vacuolar Membrane Atpase" "234" "YGR105W" "S000003337" "ORF"
"Q08096" "OTHER" "1" "RCL1" "S. cerevisiae" "Rna 3'-terminal phosphate Cyclase Like" "1104" "YOL010W" "S000005370" "ORF"
"P19454" "OTHER" "1" "CKA2" "S. cerevisiae" "Casein Kinase Alpha' subunit" "1020" "YOR061W" "S000005587" "ORF"
"P06774" "OTHER" "1" "HAP2" "S. cerevisiae" "Heme Activator Protein" "798" "YGL237C" "S000003206" "ORF"
"P28742" "OTHER" "1" "KIP1" "S. cerevisiae" "KInesin related Protein" "3336" "YBL063W" "S000000159" "ORF"
"P17123" "OTHER" "1" "SPO12" "S. cerevisiae" "SPOrulation" "522" "YHR152W" "S000001195" "ORF"
"P32768" "OTHER" "1" "FLO1" "S. cerevisiae" "FLOcculation" "4614" "YAR050W" "S000000084" "ORF"
"P38745" "OTHER" "1" "" "S. cerevisiae" "" "1599" "YHL017W" "S000001009" "ORF"
"P39954" "OTHER" "1" "SAH1" "S. cerevisiae" "S-Adenosyl-l-Homocysteine hydrolase" "1350" "YER043C" "S000000845" "ORF"
"Q05778" "OTHER" "1" "PBA1" "S. cerevisiae" "Proteasome Biogenesis-Associated" "917" "YLR199C" "S000004189" "ORF"
"Q03048" "OTHER" "1" "COF1" "S. cerevisiae" "COFilin" "611" "YLL050C" "S000003973" "ORF"
"P28319" "OTHER" "1" "CWP1" "S. cerevisiae" "Cell Wall Protein" "720" "YKL096W" "S000001579" "ORF"
"Q03983" "OTHER" "1" "NVJ3" "S. cerevisiae" "Nucleus-Vacuole Junction" "1392" "YDR179W-A" "S000002587" "ORF"
"P36169" "OTHER" "1" "SKG1" "S. cerevisiae" "Suppressor of lethality of Kex2 Gas1 double null mutant" "1068" "YKR100C" "S000001808" "ORF"
"P01119" "OTHER" "1" "RAS1" "S. cerevisiae" "homologous to RAS proto-oncogene" "930" "YOR101W" "S000005627" "ORF"
"P39955" "OTHER" "1" "SAP1" "S. cerevisiae" "Sin1 Associated Protein" "2694" "YER047C" "S000000849" "ORF"
"P18408" "OTHER" "1" "MET16" "S. cerevisiae" "METhionine requiring" "786" "YPR167C" "S000006371" "ORF"
"P53264" "OTHER" "1" "CLD1" "S. cerevisiae" "CardioLipin-specific Deacylase" "1338" "YGR110W" "S000003342" "ORF"
"Q08911" "OTHER" "1" "FDH1" "S. cerevisiae" "Formate DeHydrogenase" "1131" "YOR388C" "S000005915" "ORF"
"P09064" "OTHER" "1" "SUI3" "S. cerevisiae" "SUppressor of Initiator codon" "858" "YPL237W" "S000006158" "ORF"
"Q08750" "OTHER" "1" "MUM3" "S. cerevisiae" "MUddled Meiosis" "1440" "YOR298W" "S000005824" "ORF"
"Q05779" "OTHER" "1" "COQ9" "S. cerevisiae" "COenzyme Q" "783" "YLR201C" "S000004191" "ORF"
"Q03305" "OTHER" "1" "RMT2" "S. cerevisiae" "aRginine MeThyltransferase" "1239" "YDR465C" "S000002873" "ORF"
"P39953" "OTHER" "1" "YEA6" "S. cerevisiae" "" "1008" "YEL006W" "S000000732" "ORF"
"Q03629" "OTHER" "1" "" "S. cerevisiae" "" "606" "YML079W" "S000004544" "ORF"
"Q00539" "OTHER" "1" "NAM8" "S. cerevisiae" "Nuclear Accommodation of Mitochondria" "1572" "YHR086W" "S000001128" "ORF"
"P51998" "OTHER" "1" "YML6" "S. cerevisiae" "" "960" "YML025C" "S000004487" "ORF"
"P28519" "OTHER" "1" "RAD14" "S. cerevisiae" "RADiation sensitive" "1200" "YMR201C" "S000004814" "ORF"
"Q6Q5P6" "OTHER" "1" "" "S. cerevisiae" "" "" "YHL009W-A" "S000007371" "TransposableElementGene"
"P32857" "OTHER" "1" "PTM1" "S. cerevisiae" "" "1572" "YKL039W" "S000001522" "ORF"
"Q04116" "OTHER" "1" "YHP1" "S. cerevisiae" "Yeast Homeo-Protein" "1062" "YDR451C" "S000002859" "ORF"
"Q04673" "OTHER" "1" "SSL1" "S. cerevisiae" "Suppressor of Stem-Loop mutation" "1386" "YLR005W" "S000003995" "ORF"
"P38746" "OTHER" "1" "YLF2" "S. cerevisiae" "" "1218" "YHL014C" "S000001006" "ORF"
"Q07993" "OTHER" "1" "XYL2" "S. cerevisiae" "" "1071" "YLR070C" "S000004060" "ORF"
"Q03465" "OTHER" "1" "RPN4" "S. cerevisiae" "Regulatory Particle Non-ATPase" "1596" "YDL020C" "S000002178" "ORF"
"P53757" "OTHER" "1" "" "S. cerevisiae" "" "1029" "YNR071C" "S000005354" "ORF"
"Q08912" "OTHER" "1" "" "S. cerevisiae" "" "1875" "YOR389W" "S000005916" "ORF"
"P32333" "OTHER" "1" "MOT1" "S. cerevisiae" "Modifier of Transcription" "5604" "YPL082C" "S000006003" "ORF"
"Q06070" "OTHER" "1" "" "S. cerevisiae" "" "687" "YLR407W" "S000004399" "ORF"
"P26783" "OTHER" "1" "RPS5" "S. cerevisiae" "Ribosomal Protein of the Small subunit" "678" "YJR123W" "S000003884" "ORF"
"P39938" "OTHER" "1" "RPS26A" "S. cerevisiae" "Ribosomal Protein of the Small subunit" "360" "YGL189C" "S000003157" "ORF"
"P53118" "OTHER" "1" "ROG1" "S. cerevisiae" "Revertant Of Glycogen synthase kinase mutation" "2058" "YGL144C" "S000003112" "ORF"
"Q00776" "OTHER" "1" "APM1" "S. cerevisiae" "clathrin Adaptor Protein complex Medium chain" "1428" "YPL259C" "S000006180" "ORF"
"P11972" "OTHER" "1" "SST2" "S. cerevisiae" "SuperSensiTive" "2097" "YLR452C" "S000004444" "ORF"
"Q03322" "OTHER" "1" "TLG1" "S. cerevisiae" "T-snare affecting a Late Golgi compartment" "675" "YDR468C" "S000002876" "ORF"
"P53262" "OTHER" "1" "VOA1" "S. cerevisiae" "V0 Assembly protein" "798" "YGR106C" "S000003338" "ORF"
"P33775" "OTHER" "1" "PMT1" "S. cerevisiae" "Protein O-MannosylTransferase" "2454" "YDL095W" "S000002253" "ORF"
"P08679" "OTHER" "1" "CIT2" "S. cerevisiae" "CITrate synthase" "1383" "YCR005C" "S000000598" "ORF"
"P39956" "OTHER" "1" "RPH1" "S. cerevisiae" "Regulator of PHR1" "2391" "YER169W" "S000000971" "ORF"
"P38747" "OTHER" "1" "OTU2" "S. cerevisiae" "member of the Ovarian TUmor family" "924" "YHL013C" "S000001005" "ORF"
"P25631" "OTHER" "1" "" "S. cerevisiae" "" "669" "YCR051W" "S000000647" "ORF"
"Q12078" "OTHER" "1" "SMF3" "S. cerevisiae" "" "1422" "YLR034C" "S000004024" "ORF"
"P50861" "OTHER" "1" "RIB4" "S. cerevisiae" "RIBoflavin biosynthesis" "510" "YOL143C" "S000005503" "ORF"
"P33302" "OTHER" "1" "PDR5" "S. cerevisiae" "Pleiotropic Drug Resistance" "4536" "YOR153W" "S000005679" "ORF"
"P33894" "OTHER" "1" "STE13" "S. cerevisiae" "STErile" "2796" "YOR219C" "S000005745" "ORF"
"P42900" "OTHER" "1" "SLS1" "S. cerevisiae" "Synthetic Lethal with SSM4" "1932" "YLR139C" "S000004129" "ORF"
"Q08245" "OTHER" "1" "ZEO1" "S. cerevisiae" "ZEOcin resistance" "342" "YOL109W" "S000005469" "ORF"
"P12709" "OTHER" "1" "PGI1" "S. cerevisiae" "PhosphoGlucoIsomerase" "1665" "YBR196C" "S000000400" "ORF"
"P53119" "OTHER" "1" "HUL5" "S. cerevisiae" "Hect Ubiquitin Ligase" "2733" "YGL141W" "S000003109" "ORF"
"P12954" "OTHER" "1" "SRS2" "S. cerevisiae" "Suppressor of Rad Six" "3525" "YJL092W" "S000003628" "ORF"
"P38748" "OTHER" "1" "ETP1" "S. cerevisiae" "Ethanol Tolerance Protein" "1758" "YHL010C" "S000001002" "ORF"
"P25632" "OTHER" "1" "RSC6" "S. cerevisiae" "Remodel the Structure of Chromatin" "1452" "YCR052W" "S000000648" "ORF"
"P35190" "OTHER" "1" "CLG1" "S. cerevisiae" "Cyclin-Like Gene" "1359" "YGL215W" "S000003183" "ORF"
"P53338" "OTHER" "1" "MAL13" "S. cerevisiae" "MALtose fermentation" "1422" "YGR288W" "S000003520" "ORF"
"Q05029" "OTHER" "1" "BCH1" "S. cerevisiae" "Bud7 and Chs6 Homolog" "2175" "YMR237W" "S000004850" "ORF"
"P41800" "OTHER" "1" "MMM1" "S. cerevisiae" "Maintenance of Mitochondrial Morphology" "1281" "YLL006W" "S000003929" "ORF"
"Q02770" "OTHER" "1" "CWC27" "S. cerevisiae" "Complexed With Cef1p" "906" "YPL064C" "S000005985" "ORF"
"P36168" "OTHER" "1" "ESL2" "S. cerevisiae" "EST/SMG-like" "3588" "YKR096W" "S000001804" "ORF"
"P48558" "OTHER" "1" "BXI1" "S. cerevisiae" "BaX Inhibitor" "894" "YNL305C" "S000005249" "ORF"
"Q08913" "OTHER" "1" "FEX1" "S. cerevisiae" "" "1128" "YOR390W" "S000005917" "ORF"
"P53750" "OTHER" "1" "" "S. cerevisiae" "" "873" "YNR064C" "S000005347" "ORF"
"P38819" "OTHER" "1" "ERP5" "S. cerevisiae" "Emp24p/Erv25p Related Protein" "639" "YHR110W" "S000001152" "ORF"
"P07286" "OTHER" "1" "ALG7" "S. cerevisiae" "Asparagine-Linked Glycosylation" "1347" "YBR243C" "S000000447" "ORF"
"Q04048" "OTHER" "1" "SYF1" "S. cerevisiae" "SYnthetic lethal with cdcForty" "2580" "YDR416W" "S000002824" "ORF"
"P41805" "OTHER" "1" "RPL10" "S. cerevisiae" "Ribosomal Protein of the Large subunit" "666" "YLR075W" "S000004065" "ORF"
"P53898" "OTHER" "1" "NSG2" "S. cerevisiae" "" "900" "YNL156C" "S000005100" "ORF"
"Q03175" "OTHER" "1" "SRT1" "S. cerevisiae" "Suppressor of Rer-Two" "1032" "YMR101C" "S000004707" "ORF"
"P33303" "OTHER" "1" "SFC1" "S. cerevisiae" "Succinate-Fumarate Carrier" "969" "YJR095W" "S000003856" "ORF"
"P15873" "OTHER" "1" "POL30" "S. cerevisiae" "POLymerase" "777" "YBR088C" "S000000292" "ORF"
"P38374" "OTHER" "1" "YSY6" "S. cerevisiae" "" "198" "YBR162W-A" "S000002158" "ORF"
"P08019" "OTHER" "1" "SGA1" "S. cerevisiae" "Sporulation-specific GlycoAmylase" "1650" "YIL099W" "S000001361" "ORF"
"P40054" "OTHER" "1" "SER3" "S. cerevisiae" "SERine requiring" "1410" "YER081W" "S000000883" "ORF"
"P07834" "OTHER" "1" "CDC4" "S. cerevisiae" "Cell Division Cycle" "2340" "YFL009W" "S000001885" "ORF"
"P34248" "OTHER" "1" "YPF1" "S. cerevisiae" "Yeast Presenilin-like Family 1" "1764" "YKL100C" "S000001583" "ORF"
"P00830" "OTHER" "1" "ATP2" "S. cerevisiae" "ATP synthase" "1536" "YJR121W" "S000003882" "ORF"
"P25569" "OTHER" "1" "GID7" "S. cerevisiae" "Glucose Induced Degradation deficient" "2238" "YCL039W" "S000000544" "ORF"
"P53756" "OTHER" "1" "PDR18" "S. cerevisiae" "Pleiotropic Drug Resistance" "4002" "YNR070W" "S000005353" "ORF"
"P53899" "OTHER" "1" "CUZ1" "S. cerevisiae" "Cdc48-associated UBL/Zn-finger protein" "825" "YNL155W" "S000005099" "ORF"
"P53978" "OTHER" "1" "HEF3" "S. cerevisiae" "Homolog of EF-3" "3135" "YNL014W" "S000004959" "ORF"
"P38749" "OTHER" "1" "YAP3" "S. cerevisiae" "Yeast AP-1" "993" "YHL009C" "S000001001" "ORF"
"P25345" "OTHER" "1" "SLM5" "S. cerevisiae" "Synthetic Lethal with Mss4" "1479" "YCR024C" "S000000618" "ORF"
"P38688" "OTHER" "1" "SRP72" "S. cerevisiae" "Signal Recognition Particle" "1923" "YPL210C" "S000006131" "ORF"
"P36014" "OTHER" "1" "GPX1" "S. cerevisiae" "Glutathione PeroXidase" "504" "YKL026C" "S000001509" "ORF"
"P07278" "OTHER" "1" "BCY1" "S. cerevisiae" "Bypass of CYclic-AMP requirement" "1251" "YIL033C" "S000001295" "ORF"
"P40351" "OTHER" "1" "ALG8" "S. cerevisiae" "Asparagine-Linked Glycosylation" "1734" "YOR067C" "S000005593" "ORF"
"P41920" "OTHER" "1" "YRB1" "S. cerevisiae" "Yeast Ran Binder" "606" "YDR002W" "S000002409" "ORF"
"P38555" "OTHER" "1" "YPT31" "S. cerevisiae" "Yeast Protein Two" "672" "YER031C" "S000000833" "ORF"
"P53751" "OTHER" "1" "" "S. cerevisiae" "" "3351" "YNR065C" "S000005348" "ORF"
"Q12324" "OTHER" "1" "YVC1" "S. cerevisiae" "Yeast Vacuolar Conductance" "2028" "YOR087W" "S000005613" "ORF"
"P30777" "OTHER" "1" "GPI10" "S. cerevisiae" "GlycosylPhosphatidylInositol anchor biosynthesis" "1851" "YGL142C" "S000003110" "ORF"
"P20435" "OTHER" "1" "RPO26" "S. cerevisiae" "RNA POlymerase" "544" "YPR187W" "S000006391" "ORF"
"P08153" "OTHER" "1" "SWI5" "S. cerevisiae" "SWItching deficient" "2130" "YDR146C" "S000002553" "ORF"
"P32830" "OTHER" "1" "TIM12" "S. cerevisiae" "Translocase of the Inner Membrane" "330" "YBR091C" "S000000295" "ORF"
"P53261" "OTHER" "1" "NOP7" "S. cerevisiae" "NucleOlar Protein" "1818" "YGR103W" "S000003335" "ORF"
"Q12144" "OTHER" "1" "PER33" "S. cerevisiae" "Pore and ER protein, 33 kDa" "822" "YLR064W" "S000004054" "ORF"
"P53040" "OTHER" "1" "TAF6" "S. cerevisiae" "TATA binding protein-Associated Factor" "1551" "YGL112C" "S000003080" "ORF"
"Q08685" "OTHER" "1" "CLP1" "S. cerevisiae" "CLeavage/Polyadenylation factor Ia subunit" "1338" "YOR250C" "S000005776" "ORF"
"P25296" "OTHER" "1" "CNB1" "S. cerevisiae" "CalciNeurin subunit B" "604" "YKL190W" "S000001673" "ORF"
"Q04049" "OTHER" "1" "RAD30" "S. cerevisiae" "RADiation sensitive" "1899" "YDR419W" "S000002827" "ORF"
"Q06835" "OTHER" "1" "RDS3" "S. cerevisiae" "Regulator of Drug Sensitivity" "324" "YPR094W" "S000006298" "ORF"
"P41834" "OTHER" "1" "UFE1" "S. cerevisiae" "Unknown Function Essential" "1041" "YOR075W" "S000005601" "ORF"
"P40055" "OTHER" "1" "UTP7" "S. cerevisiae" "U Three Protein" "1665" "YER082C" "S000000884" "ORF"
"Q08179" "OTHER" "1" "MDM38" "S. cerevisiae" "Mitochondrial Distribution and Morphology" "1722" "YOL027C" "S000005387" "ORF"
"P17695" "OTHER" "1" "GRX2" "S. cerevisiae" "GlutaRedoXin" "432" "YDR513W" "S000002921" "ORF"
"Q07748" "OTHER" "1" "THI13" "S. cerevisiae" "THIamine metabolism" "1023" "YDL244W" "S000002403" "ORF"
"O13563" "OTHER" "1" "RPN13" "S. cerevisiae" "Regulatory Particle Non-ATPase" "471" "YLR421C" "S000004413" "ORF"
"Q06466" "OTHER" "1" "TDA6" "S. cerevisiae" "Topoisomerase I Damage Affected" "1404" "YPR157W" "S000006361" "ORF"
"P25567" "OTHER" "1" "SRO9" "S. cerevisiae" "Suppressor of rho3" "1305" "YCL037C" "S000000542" "ORF"
"P32642" "OTHER" "1" "GRX4" "S. cerevisiae" "GlutaRedoXin" "735" "YER174C" "S000000976" "ORF"
"P36013" "OTHER" "1" "MAE1" "S. cerevisiae" "MAlic Enzyme" "2010" "YKL029C" "S000001512" "ORF"
"Q99382" "OTHER" "1" "SND2" "S. cerevisiae" "SRP-iNDependent targeting" "546" "YLR065C" "S000004055" "ORF"
"P14772" "OTHER" "1" "BPT1" "S. cerevisiae" "Bile Pigment Transporter" "4680" "YLL015W" "S000003938" "ORF"
"Q03177" "OTHER" "1" "LAF1" "S. cerevisiae" "Lam2/Ltc4-Associated Factor" "2505" "YMR102C" "S000004708" "ORF"
"P54854" "OTHER" "1" "HXT15" "S. cerevisiae" "HeXose Transporter" "1704" "YDL245C" "S000002404" "ORF"
"P53754" "OTHER" "1" "" "S. cerevisiae" "" "819" "YNR068C" "S000005351" "ORF"
"Q04432" "OTHER" "1" "HSP31" "S. cerevisiae" "Heat-Shock Protein" "714" "YDR533C" "S000002941" "ORF"
"P35183" "OTHER" "1" "AST1" "S. cerevisiae" "ATPase STabilizing" "1290" "YBL069W" "S000000165" "ORF"
"P39685" "OTHER" "1" "POM152" "S. cerevisiae" "POre Membrane" "4014" "YMR129W" "S000004736" "ORF"
"Q12380" "OTHER" "1" "ATG5" "S. cerevisiae" "AuTophaGy related" "885" "YPL149W" "S000006070" "ORF"
"P40968" "OTHER" "1" "CDC40" "S. cerevisiae" "Cell Division Cycle" "1368" "YDR364C" "S000002772" "ORF"
"O75012" "OTHER" "1" "MRP10" "S. cerevisiae" "Mitochondrial Ribosomal Protein" "288" "YDL045W-A" "S000006430" "ORF"
"P81450" "OTHER" "1" "ATP18" "S. cerevisiae" "ATP synthase" "180" "YML081C-A" "S000007247" "ORF"
"P53114" "OTHER" "1" "NUT1" "S. cerevisiae" "Negative regulation of URS Two" "3399" "YGL151W" "S000003119" "ORF"
"P28321" "OTHER" "1" "YJU3" "S. cerevisiae" "" "942" "YKL094W" "S000001577" "ORF"
"P23643" "OTHER" "1" "VPS3" "S. cerevisiae" "Vacuolar Protein Sorting" "3036" "YDR495C" "S000002903" "ORF"
"Q03067" "OTHER" "1" "SGF11" "S. cerevisiae" "SaGa associated Factor 11kDa" "300" "YPL047W" "S000005968" "ORF"
"P32266" "OTHER" "1" "MGM1" "S. cerevisiae" "Mitochondrial Genome Maintenance" "2646" "YOR211C" "S000005737" "ORF"
"P40851" "OTHER" "1" "AXL1" "S. cerevisiae" "AXiaL budding" "3627" "YPR122W" "S000006326" "ORF"
"P41733" "OTHER" "1" "GAB1" "S. cerevisiae" "GPI and Actin Bar" "1185" "YLR459W" "S000004451" "ORF"
"Q12083" "OTHER" "1" "MLH3" "S. cerevisiae" "MutL Homolog" "2148" "YPL164C" "S000006085" "ORF"
"P40056" "OTHER" "1" "GET2" "S. cerevisiae" "Guided Entry of Tail-anchored proteins" "858" "YER083C" "S000000885" "ORF"
"Q6Q560" "OTHER" "1" "ISD11" "S. cerevisiae" "Iron-Sulfur protein biogenesis, Desulfurase-interacting protein" "285" "YER048W-A" "S000007237" "ORF"
"P19807" "OTHER" "1" "HNM1" "S. cerevisiae" "Hyper-resistance to Nitrogen Mustard" "1692" "YGL077C" "S000003045" "ORF"
"P25349" "OTHER" "1" "YCP4" "S. cerevisiae" "" "744" "YCR004C" "S000000597" "ORF"
"P32588" "OTHER" "1" "PUB1" "S. cerevisiae" "PolyUridylate Binding" "1362" "YNL016W" "S000004961" "ORF"
"Q07747" "OTHER" "1" "AAD4" "S. cerevisiae" "Aryl-Alcohol Dehydrogenase" "990" "YDL243C" "S000002402" "ORF"
"Q04511" "OTHER" "1" "UFO1" "S. cerevisiae" "UV-F-box-HO" "2007" "YML088W" "S000004553" "ORF"
"Q04210" "OTHER" "1" "YET2" "S. cerevisiae" "Yeast Endoplasmic reticulum Transmembrane protein" "483" "YMR040W" "S000004643" "ORF"
"P53897" "OTHER" "1" "IGO1" "S. cerevisiae" "Initiation of G zerO" "507" "YNL157W" "S000005101" "ORF"
"Q08844" "OTHER" "1" "" "S. cerevisiae" "" "2112" "YOR365C" "S000005892" "ORF"
"Q04947" "OTHER" "1" "RTN1" "S. cerevisiae" "ReTiculoN-like" "888" "YDR233C" "S000002641" "ORF"
"P15303" "OTHER" "1" "SEC23" "S. cerevisiae" "SECretory" "2307" "YPR181C" "S000006385" "ORF"
"Q08686" "OTHER" "1" "TUM1" "S. cerevisiae" "ThioUridine Modification" "915" "YOR251C" "S000005777" "ORF"
"P48527" "OTHER" "1" "MSY1" "S. cerevisiae" "Mitochondrial aminoacyl-tRNA Synthetase, tyrosine (Y)" "1479" "YPL097W" "S000006018" "ORF"
"P53755" "OTHER" "1" "BSC5" "S. cerevisiae" "Bypass of Stop Codon" "1470" "YNR069C" "S000005352" "ORF"
"P36166" "OTHER" "1" "PXL1" "S. cerevisiae" "PaXillin-Like protein" "2121" "YKR090W" "S000001798" "ORF"
"P53115" "OTHER" "1" "INO80" "S. cerevisiae" "INOsitol requiring" "4470" "YGL150C" "S000003118" "ORF"
"P12866" "OTHER" "1" "STE6" "S. cerevisiae" "STErile" "3873" "YKL209C" "S000001692" "ORF"
"P53047" "OTHER" "1" "RTA1" "S. cerevisiae" "Resistance To 7-Aminocholesterol" "954" "YGR213C" "S000003445" "ORF"
"Q08970" "OTHER" "1" "MMT2" "S. cerevisiae" "Mitochondrial Metal Transporter" "1455" "YPL224C" "S000006145" "ORF"
"Q08108" "OTHER" "1" "PLB3" "S. cerevisiae" "PhosphoLipase B" "2061" "YOL011W" "S000005371" "ORF"
"P27882" "OTHER" "1" "ERV1" "S. cerevisiae" "Essential for Respiration and Viability" "653" "YGR029W" "S000003261" "ORF"
"P25568" "OTHER" "1" "ATG22" "S. cerevisiae" "AuTophaGy related" "1587" "YCL038C" "S000000543" "ORF"
"Q12367" "OTHER" "1" "RKM5" "S. cerevisiae" "Ribosomal lysine (K) Methyltransferase 5" "1104" "YLR137W" "S000004127" "ORF"
"P28320" "OTHER" "1" "YJU2" "S. cerevisiae" "" "837" "YKL095W" "S000001578" "ORF"
